session_id,default_pay_mode,bind_card_x1,bytepay_ctr_x1,all_ctr_x1,budget_x1,bind_card_x0,bytepay_ctr_x0,all_ctr_x0,budget_x0
202405101320383738a0zb71cy22x3,bp_top,3.5740717E-4,0.08215505,0.080980524,-0.0011745259999999952,1.3673953E-4,0.019261073,0.08143707,0.062175997
20240510131620187102za70yb1c22dx,bp_top,0.002635628,0.22770059,0.7955916,0.56789101,0.0021066666,0.22325519,0.8413271,0.6180719100000001
20240510205932374969a0bz17yc2d3e,bp_top,6.9190376E-4,0.12516335,0.19106084,0.06589749,0.0,0.0,0.0,0.0
20240510084903636354z7ya20xb13w8,bp_top,7.8576803E-4,0.10156983,0.24861345,0.14704362,1.06573105E-4,0.0032234788,0.28409427,0.28087079119999997
20240510234744881772az0b71c2dy3e,bp_top,0.0024155974,0.2829957,0.39201406,0.10901835999999998,4.095435E-4,0.07113707,0.41951802,0.34838095
20240510224249536609a0bz71c2d3e4,bp_top,3.784895E-6,8.752644E-4,0.001359731,4.844666000000001E-4,3.9964496E-7,1.38603655E-5,9.96811E-4,9.829506345E-4
20240510063239904942z7a0by2x13c2,bp_top,5.3685904E-4,0.38739002,0.5818534,0.19446337999999996,1.4483929E-4,0.031600147,0.60618955,0.5745894029999999
20240510160207639689za7y20xb13w8,bp_top,2.632141E-4,0.027801812,0.18592721,0.158125398,6.0230494E-5,0.0016923845,0.24350509,0.2418127055
20240510070615465699a0zb7y2x13cw,bp_top,0.0023017526,0.82180685,0.86521053,0.043403680000000056,1.6587973E-4,0.03324151,0.8482564,0.81501489
2024051021154925144a0zb7y12xc3w,bp_top,2.1708237E-4,0.37573013,0.37339082,-0.0023393099999999833,0.0,0.0,0.0,0.0
20240510234632111262z7a0by21x3cw,bp_top,0.0039337873,0.13174742,0.5258312,0.39408378000000005,0.004077643,0.111851156,0.6176887,0.505837544
20240510221807369020z7ay02x3bw18,bp_top,0.0016964078,0.19965768,0.5320382,0.33238052,3.0577183E-4,0.017320931,0.6356503,0.618329369
20240510120356661875z7y2xa30w8v6,bp_top,0.0039688647,0.6683792,0.92922795,0.2608487500000001,4.6041608E-4,0.0058024228,0.92826915,0.9224667272
20240510135402179761a0b1z7c2dy3e,bp_top,0.0012151301,0.3106628,0.7239564,0.41329360000000004,2.7754903E-4,0.017560035,0.7486876,0.731127565
20240510120339285079az7y0b12cx3w,bp_top,0.026065454,0.76298726,0.8268696,0.06388234000000004,0.011404444,0.28031576,0.80256397,0.52224821
20240510191923537106a0b1c2z7y2d3,bp_top,0.0045873094,0.2568394,0.97500753,0.71816813,4.7309787E-4,0.012489671,0.97884846,0.966358789
20240510111341125905a0b1z7yc22dx,bp_top,7.0161285E-4,0.0033502372,0.013878598,0.0105283608,2.0784682E-4,4.0453047E-4,0.018143179,0.017738648529999998
20240510162927990921z7ya2x30b1cw,bp_top,2.475381E-4,0.058996886,0.5380797,0.4790828140000001,1.15573406E-4,0.0031459332,0.5542364,0.5510904668
20240510044550727176a0b1cz7y2x3w,bp_top,0.0012254715,0.43134198,0.8133887,0.38204671999999995,6.553531E-5,0.006414056,0.85913706,0.852723004
20240510151759639748a0b1z7cy2x3w,bp_top,0.00209115,0.12804765,0.2587629,0.13071525,6.3857913E-4,0.011296325,0.2690462,0.257749875
20240510084225370910az70yb1c22d3,bp_top,0.035845526,0.47902948,0.5316701,0.05264062000000003,0.014321149,0.10544622,0.44336966,0.33792344
2024051020222860341za0b17c2dy23,bp_top,0.012081448,0.054824878,0.1877933,0.132968422,0.006131365,0.011771895,0.19949833,0.187726435
20240510073138921960a0bz7y1c22dx,bp_top,0.0014087558,0.21652573,0.60011804,0.38359231000000005,6.338587E-4,0.088215165,0.62086844,0.5326532749999999
20240510134730804488a0b1c2dz37ye,bp_top,3.3248635E-4,0.051072314,0.09813305,0.047060736,0.0,0.0,0.0,0.0
20240510205332454394za7y0b12xc3w,bp_top,0.00300503,0.0332166,0.7105924,0.6773758,0.0013701302,0.0061659906,0.6849005,0.6787345094
20240510130850151472a0bz1c2d37ey,bp_top,0.023352623,0.48517287,0.8471627,0.36198983000000007,0.019131511,0.40352273,0.81136924,0.40784651
2024051014493063339z7ya2x3w8v06,bp_top,2.173659E-4,0.11132706,0.91215044,0.80082338,6.3455045E-5,0.04603923,0.92340064,0.87736141
20240510154127472042az0b1c72d3ye,bp_top,0.0017952381,0.024717063,0.63701427,0.612297207,4.1898235E-4,0.006131984,0.7083993,0.7022673159999999
2024051008353349503z7ay0b12x3w8,bp_top,3.8200617E-4,0.029137194,0.5037108,0.47457360600000004,2.1203389E-4,0.011031665,0.5490674,0.538035735
20240510190045529643az0b71yc2x3w,bp_top,0.099944994,0.22449234,0.5671859,0.34269356,0.0,0.0,0.0,0.0
20240510221812921380za0b7y2x1c23,bp_top,4.9828497E-5,0.04749906,0.6321602,0.5846611399999999,3.575404E-5,0.0038504165,0.6737147,0.6698642835
20240510074711229359z7y2ax30w8v6,bp_top,0.003742068,0.5320143,0.70219946,0.17018515999999995,1.1953314E-4,0.0059218407,0.73376375,0.7278419093
2024051010421490062z7a0y2xb13wc,bp_top,0.0038816417,0.19808139,0.26083758,0.06275619000000002,0.0028438899,0.044721004,0.25625327,0.21153226599999997
20240510163106802631a0z7yb1c2x32,bp_top,0.009979527,0.078689866,0.684746,0.6060561339999999,0.0035136782,0.012257349,0.71319443,0.7009370810000001
20240510224756128402a0bz71yc22xd,bp_top,0.0039532185,0.47500592,0.47827214,0.0032662199999999864,2.949834E-4,0.03724712,0.40764004,0.37039291999999996
20240510104603550408za70y2x3b1c2,bp_top,0.01522223,0.106387444,0.81724477,0.710857326,0.0024037047,0.0073784916,0.83963984,0.8322613484
20240510114352194294z7ay2x3w80b1,bp_top,7.748604E-5,0.22403634,0.5035701,0.27953376,1.30832195E-5,0.0032515228,0.50058186,0.4973303372
20240510001809251323z7a0by12xc2d,bp_top,1.1377055E-5,0.001263356,0.005876236,0.00461288,0.0,0.0,0.0,0.0
20240510221806847160az0b7y1c22xd,bp_top,0.0016046464,0.08442795,0.8808043,0.79637635,4.6759844E-4,0.003669411,0.9046954,0.9010259890000001
20240510101314309462z7ya2x03bw18,bp_top,0.0019480586,0.23737419,0.2432082,0.005834010000000001,2.5333624E-4,0.035655063,0.22058149,0.184926427
20240510162045546153az70y2b1xc23,bp_top,0.0015655458,0.4539829,0.6048273,0.15084439999999993,2.1621642E-4,0.028031806,0.70566493,0.677633124
20240510102130812437za70yb2x1c2d,bp_top,9.031466E-5,0.1146969,0.93264663,0.81794973,1.6788164E-5,0.0023745245,0.9524148,0.9500402755
20240510002602940389za7y2x0b31w8,bp_top,0.0029154408,0.21468315,0.36436924,0.14968609,0.00228212,0.10284091,0.39850295,0.29566204
20240510085927198456za7y0b1c2x32,bp_top,2.3376942E-4,0.088875115,0.7207716,0.631896485,3.0070543E-5,0.008636653,0.7681279,0.7594912469999999
20240510152547182477za0b7y2x1c23,bp_top,0.0016909838,0.17325819,0.5702202,0.39696201,5.1909685E-4,0.016531795,0.5986886,0.582156805
20240510011327978540az0b7y2x13c2,bp_top,0.005223378,0.08275281,0.8466601,0.76390729,0.0029055632,0.049161192,0.8454649,0.7963037079999999
20240510141315247090a0zb17yc2d3e,bp_top,0.032187562,0.12624031,0.36383635,0.23759603999999998,0.0153397955,0.05928866,0.418104,0.35881534
20240510220946288408z7ya20b1xc23,bp_top,0.001034081,0.11142406,0.50635225,0.39492818999999996,1.6459823E-4,0.005228162,0.5395514,0.534323238
2024051019251286265za0b1c7y22xd,bp_top,2.6460667E-4,0.518599,0.5192792,6.802000000000197E-4,0.0,0.0,0.0,0.0
20240510011708678251za07b1cy22dx,bp_top,4.017055E-4,0.02596137,0.94454706,0.91858569,1.397144E-4,0.0029124054,0.95031893,0.9474065246
20240510122321984145az07yb12xc2d,bp_top,0.0017122697,0.5472559,0.72280955,0.17555365,2.076713E-4,0.04206328,0.69851,0.6564467199999999
20240510175345933974a0zb1c27dy3e,bp_top,0.12467766,0.34295186,0.8633125,0.52036064,0.019765655,0.035191193,0.8732336,0.8380424070000001
20240510174713829180a0bz1c7y2d23,bp_top,0.0023234487,0.1952484,0.69004154,0.49479313999999996,9.4777934E-4,0.04922514,0.8175716,0.76834646
20240510132816302161z7y2xa3w08v6,bp_top,8.819401E-4,0.40308264,0.7378074,0.33472476,2.4011731E-4,0.017201215,0.7729647,0.7557634849999999
2024051011142928514az7y2x3w0b8v,bp_top,0.036299173,0.16867915,0.21917918,0.05050003,0.0,0.0,0.0,0.0
20240510204201929245a0b1zc7y22dx,bp_top,0.0010793209,0.121949315,0.8685347,0.7465853849999999,7.659197E-4,0.027198285,0.8861055,0.858907215
20240510210552953397za7y20bx3w1c,bp_top,2.2351742E-4,0.2912988,0.4116305,0.12033169999999999,1.1301041E-4,0.008072197,0.5118468,0.5037746030000001
20240510212613840565z7a0y2x3b1w8,bp_top,0.00456975,0.25294855,0.52117854,0.26822999,0.0040059853,0.1603552,0.51977074,0.35941554
20240510202031976808z7ay20x3bw1c,bp_top,6.765425E-4,0.54760796,0.67105114,0.12344317999999999,7.465482E-5,0.018007636,0.6555714,0.637563764
20240510203134456850a0z7y2bx1c2d,bp_top,0.009320974,0.13150075,0.11458531,-0.016915440000000004,0.005364423,0.084761865,0.13522513,0.05046326499999999
20240510213409930914az7y0b21cx23,bp_top,0.0024076551,0.19183345,0.2534429,0.06160945000000004,4.3926717E-4,0.017963517,0.26283306,0.24486954300000002
20240510154556432439a0bz7y21c2dx,bp_top,0.004000008,0.38471556,0.897212,0.51249644,9.3752146E-4,0.052819848,0.92525965,0.8724398019999999
20240510101739669404a0bz71cy2x32,bp_top,2.0295382E-4,0.011730105,0.029118448,0.017388343,2.1764636E-4,0.009832174,0.037219346,0.027387172
20240510234850873420za07y2xb31c2,bp_top,9.151995E-4,0.22257859,0.72608256,0.50350397,3.8735205E-4,0.03680586,0.761897,0.7250911400000001
20240510172356100524z7ay20x3w8v6,bp_top,0.0011205673,0.12929544,0.29154184,0.16224639999999999,7.172823E-4,0.046693712,0.33249047,0.285796758
20240510232247348508az7y20bx13cw,bp_top,8.425572E-6,0.0030858978,0.028113224,0.025027326199999998,0.0,0.0,0.0,0.0
20240510195954729773za0b17c2d3ey,bp_top,0.0017315091,0.7651541,0.8405407,0.07538660000000008,4.8805808E-4,0.024596792,0.8318116,0.807214808
20240510125113727830za70b1yc2d3e,bp_top,0.008683232,0.12829448,0.44541416,0.31711968,0.0,0.0,0.0,0.0
2024051023491971547z7ay20bx31w8,bp_top,0.0023466651,0.048270047,0.053373583,0.005103535999999999,2.0606497E-4,0.0027551595,0.05000929,0.0472541305
2024051013414596094a0z7b1yc22dx,bp_top,7.520318E-4,0.05091092,0.054575324,0.003664404000000003,6.9665443E-4,0.019164974,0.0422302,0.023065226
20240510135903471493az0b1c72dy23,bp_top,0.0047506094,0.5458552,0.6404527,0.0945975,0.0017204583,0.13002461,0.5024006,0.37237599
20240510205842930148z7y2a0bx3w18,bp_top,0.0016315699,0.11259057,0.18716481,0.07457423999999999,2.1866904E-4,0.0021237736,0.18130375,0.17917997640000002
20240510114833471678az70y2x3bw8v,bp_top,9.2952757E-4,0.11613274,0.8232427,0.70710996,0.0,0.0,0.0,0.0
2024051021265840762z7ay2x03wb1c,bp_top,8.6465926E-4,0.13792428,0.34712496,0.20920067999999997,1.4027959E-4,0.0030809052,0.32323545,0.3201545448
20240510094044878170az7y0b21c2xd,bp_top,5.90063E-4,0.009161204,0.26069212,0.25153091600000005,6.397979E-4,0.0033021772,0.2336787,0.23037652279999998
20240510101621170471az0b1c72yd3e,bp_top,6.145239E-5,0.10768807,0.8603152,0.7526271299999999,4.8577785E-6,8.7580085E-4,0.8667692,0.86589339915
20240510154951596336z7y2ax30w8vb,bp_top,0.001431494,0.06800807,0.7289739,0.66096583,2.056216E-4,0.0025021608,0.7551343,0.7526321392
2024051008023444219za07b1c2y2d3,bp_top,0.001115916,0.026074179,0.7604485,0.734374321,4.1301144E-4,0.003738717,0.7871346,0.7833958830000001
20240510170953729688za70b1y2cx32,bp_top,0.0035453392,0.43182027,0.61445004,0.18262977000000002,0.0024294772,0.14587398,0.65902996,0.5131559800000001
20240510003605138753az07by2x3w18,bp_top,0.021861434,0.19461167,0.25732642,0.06271475000000001,0.0035431683,0.017848074,0.14648998,0.128641906
202405101825431232az7y02bx1c3w,bp_top,1.6185641E-4,0.019263744,0.5841004,0.564836656,7.9482794E-5,0.0049646497,0.6829859,0.6780212503
20240510133934785096za0b17cy2x3w,bp_top,0.0024090707,0.45529553,0.86814976,0.41285423,1.7345067E-4,0.0036218644,0.88403034,0.8804084756
20240510221804923821z7ya20x3bw1c,bp_top,0.0023357114,0.0571919,0.08618732,0.02899542,0.0015768334,0.0057022017,0.088192,0.0824897983
20240510153921825178a0z7b1cy2x2d,bp_top,0.0018980074,0.09966361,0.11107156,0.01140795,0.0011986684,0.03133948,0.057557285,0.026217804999999997
20240510061804273107z7ya20b1x3cw,bp_top,7.120669E-4,0.04429397,0.59858865,0.55429468,3.4231954E-4,0.004542285,0.71576864,0.711226355
20240510200110710408za7y2x0b1c3w,bp_top,0.0057748724,0.28598818,0.31108367,0.025095489999999998,0.0,0.0,0.0,0.0
20240510143333547353az7y2x03b1w8,bp_top,0.011792064,0.3606303,0.35897833,-0.0016519700000000026,0.0053108037,0.1632964,0.2980971,0.1348007
20240510105544126174z7ya0b1c22dx,bp_top,3.6269426E-4,0.0030508935,0.7630081,0.7599572065,9.7066164E-5,5.6809187E-4,0.7740154,0.7734473081300001
20240510154111413142z7ay02b1x3w8,bp_top,0.032492932,0.18745053,0.9012777,0.71382717,0.0048515275,0.022676988,0.91646636,0.8937893720000001
20240510191909743980za70y2bx31wc,bp_top,0.0028643422,0.17266257,0.4794787,0.30681612999999996,0.0,0.0,0.0,0.0
20240510190002402548az7y2x30wb1c,bp_top,5.515516E-4,0.54675055,0.7670151,0.22026455,3.1155348E-4,0.018134475,0.80103505,0.782900575
20240510014229138545z7y2a0b1xc2d,bp_top,2.565384E-4,0.038643986,0.9205209,0.881876914,9.262562E-5,0.010197192,0.9366175,0.926420308
2024051017131596908a0z7y2b1xc2d,bp_top,4.4173628E-4,0.17213713,0.6186827,0.44654557000000006,2.6015272E-5,0.008730153,0.6325262,0.623796047
2024051017531520045az07by1c2d3e,bp_top,0.0033040547,0.098681875,0.21652314,0.117841265,0.0010268904,0.03819267,0.22724788,0.18905521000000003
20240510221931348870az0b71cy2x23,bp_top,0.005775988,0.16905627,0.6115699,0.44251363,0.0023266375,0.03591311,0.61956203,0.58364892
20240510181143979291za70y2b1cx23,bp_top,0.024375351,0.063206464,0.41854638,0.355339916,0.014533681,0.034791823,0.4310705,0.396278677
20240510141505317680z7y2ax03bw81,bp_top,4.72188E-4,0.118044615,0.31184384,0.19379922499999996,1.2281537E-4,0.011070669,0.40726867,0.396198001
20240510092239920135za7y0b1c22x3,bp_top,1.6659498E-4,0.13234717,0.91371834,0.78137117,6.0915947E-5,0.0034990013,0.9225228,0.9190237987
20240510173320282045za0b17c2d3ye,bp_top,1.5506148E-4,0.11150172,0.15571102,0.04420930000000001,1.0731816E-4,0.027456194,0.1495406,0.12208440599999999
20240510230317431333z7y2xa0b3w8v,bp_top,0.011431242,0.049534123,0.72908914,0.679555017,0.0057460903,0.010119601,0.7124254,0.702305799
